buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
5100.0,34.0,300.0,224.657377243042,2.7152885463103815,10200,5100.0,110.48550081253052
5250.0,35.0,300.0,117.24072849750519,47.747757114723605,10500,5250.0,116.7685182094574
5400.0,36.0,300.0,187.7874344587326,50.07495775753992,10800,5400.0,122.75953698158264
5550.0,37.0,300.0,193.36907947063446,46.824848907588695,11100,5550.0,129.16639232635498
5700.0,38.0,300.0,198.08403566479683,46.402569797671504,11400,5700.0,135.63155221939087
5850.0,39.0,300.0,391.4662994146347,47.95043149021327,11700,5850.0,141.88801383972168
6000.0,40.0,300.0,209.9045925140381,45.67353066628975,12000,6000.0,148.4563705921173
6150.0,41.0,300.0,97.67230850458145,48.18169777285504,12300,6150.0,154.6828019618988
6300.0,42.0,300.0,80.86173266172409,47.664623559913544,12600,6300.0,160.97677850723267
6450.0,43.0,300.0,81.23377102613449,47.90082848874779,12900,6450.0,167.23971891403198
6600.0,44.0,300.0,109.18172347545624,48.529123019043965,13200,6600.0,173.42157435417175
6750.0,45.0,300.0,68.97901210188866,50.03184517606219,13500,6750.0,179.41775584220886
6900.0,46.0,300.0,128.47678875923157,50.30641430258582,13800,6900.0,185.3812108039856
7050.0,47.0,300.0,203.02603954076767,45.851832282349854,14100,7050.0,191.92402529716492
7200.0,48.0,300.0,286.189093708992,47.09759904994162,14400,7200.0,198.2937777042389
7350.0,49.0,300.0,98.7418407201767,47.435700388698,14700,7350.0,204.6181287765503
7500.0,50.0,300.0,264.0408192873001,46.9883007163236,15000,7500.0,211.0026981830597
7650.0,51.0,300.0,154.9028902053833,47.54700982272244,15300,7650.0,217.3122434616089
7800.0,52.0,300.0,108.98431798815727,50.337730811391246,15600,7800.0,223.27198815345764
7950.0,53.0,300.0,111.24800544977188,47.31051757045502,15900,7950.0,229.6130735874176
8100.0,54.0,300.0,104.56679368019104,48.501208510709155,16200,8100.0,235.79848718643188
8250.0,55.0,300.0,120.55111587047577,47.8020786356721,16500,8250.0,242.07436561584473
8400.0,56.0,300.0,106.40929213166237,47.19608367661976,16800,8400.0,248.43082571029663
8550.0,57.0,300.0,121.46156752109528,47.20907723260952,17100,8550.0,254.78553652763367
8700.0,58.0,300.0,264.5119976401329,47.05676975436105,17400,8700.0,261.1608157157898
8850.0,59.0,300.0,225.11991584300995,46.64497127141966,17700,8850.0,267.59237790107727
9000.0,60.0,300.0,252.69280248880386,47.82132493322051,18000,9000.0,273.8657305240631
9150.0,61.0,300.0,244.06213510036469,50.833685545138636,18300,9150.0,279.7673296928406
9300.0,62.0,300.0,140.46720016002655,46.7775009613563,18600,9300.0,286.18067026138306
9450.0,63.0,300.0,198.12111991643906,49.86108105587036,18900,9450.0,292.1973876953125
9600.0,64.0,300.0,293.4143226146698,50.04109737875557,19200,9600.0,298.1924605369568
9750.0,65.0,300.0,225.164741396904,47.557258368187675,19500,9750.0,304.5006465911865
9900.0,66.0,300.0,202.0979910492897,48.10084067921477,19800,9900.0,310.7375452518463
10050.0,67.0,300.0,182.42791783809662,12.251204392946727,20100,10050.0,335.2249348163605
10200.0,68.0,300.0,231.83273655176163,47.104103116892404,20400,10200.0,341.59380769729614
10350.0,69.0,300.0,339.3429102897644,48.3015882746585,20700,10350.0,347.8047845363617
10500.0,70.0,300.0,729.9576704502106,48.05005458414397,21000,10500.0,354.0482747554779
10650.0,71.0,300.0,450.3343440890312,50.64751018431427,21300,10650.0,359.9715676307678
10800.0,72.0,300.0,430.0133984684944,48.873347463965125,21600,10800.0,366.1098837852478
10950.0,73.0,300.0,484.93459010124207,48.40807566070099,21900,10950.0,372.3071982860565
11100.0,74.0,300.0,169.44842267036438,47.45908977483497,22200,11100.0,378.62843227386475
11250.0,75.0,300.0,165.43487399816513,47.21033128204766,22500,11250.0,384.98297476768494
11400.0,76.0,300.0,193.3717005252838,46.82049481679767,22800,11400.0,391.39042568206787
11550.0,77.0,300.0,161.3833160996437,46.42939822459352,23100,11550.0,397.851850271225
11700.0,78.0,300.0,564.8737918138504,47.61889480097789,23400,11700.0,404.1518712043762
11850.0,79.0,300.0,240.64592230319977,48.58988713150223,23700,11850.0,410.3259961605072
12000.0,80.0,300.0,640.7903788089752,48.59656780622289,24000,12000.0,416.4992723464966
12150.0,81.0,300.0,198.74118828773499,46.469862977020654,24300,12150.0,422.95507049560547
12300.0,82.0,300.0,762.6837049126625,47.3532373368907,24600,12300.0,429.29043531417847
12450.0,83.0,300.0,190.83384960889816,47.80509881055919,24900,12450.0,435.5659177303314
12600.0,84.0,300.0,526.9226791858673,47.65802516306787,25200,12600.0,441.8607656955719
12750.0,85.0,300.0,164.61769264936447,47.93601314651402,25500,12750.0,448.119108915329
12900.0,86.0,300.0,143.76830261945724,54.03933892114513,25800,12900.0,453.67062163352966
13050.0,87.0,300.0,241.0752375125885,52.147334760629505,26100,13050.0,459.42355275154114
13200.0,88.0,300.0,149.41997730731964,50.94813675817771,26400,13200.0,465.3118944168091
13350.0,89.0,300.0,433.4577213525772,48.4440246420611,26700,13350.0,471.50460958480835
13500.0,90.0,300.0,148.15413403511047,51.03470619532327,27000,13500.0,477.3829629421234
13650.0,91.0,300.0,250.9420758485794,50.721861424309495,27300,13650.0,483.2975730895996
13800.0,92.0,300.0,382.26028418540955,52.66765660062661,27600,13800.0,488.9936692714691
13950.0,93.0,300.0,558.9992986917496,48.25021109375324,27900,13950.0,495.2112591266632
14100.0,94.0,300.0,651.919650554657,50.807513200940534,28200,14100.0,501.11589884757996
