kind,at_step,index,total_reward,length
train_episode,10200,0,2.047301769256592,200
train_episode,10400,1,2.328634738922119,200
train_episode,10600,2,1.9672574996948242,200
train_episode,10800,3,1.9297810792922974,200
train_episode,11000,4,2.408087730407715,200
train_episode,11200,5,2.1593730449676514,200
train_episode,11400,6,3.1364691257476807,200
train_episode,11600,7,1.9153735637664795,200
train_episode,11800,8,3.2618680000305176,200
train_episode,12000,9,2.276822328567505,200
train_episode,12200,10,2.7564375400543213,200
train_episode,12400,11,2.522017002105713,200
train_episode,12600,12,2.233886480331421,200
train_episode,12800,13,2.1115379333496094,200
train_episode,13000,14,2.2563276290893555,200
train_episode,13200,15,1.9040677547454834,200
train_episode,13400,16,3.1499085426330566,200
train_episode,13600,17,1.9997119903564453,200
train_episode,13800,18,2.2243845462799072,200
train_episode,14000,19,2.0751678943634033,200
train_episode,14200,20,2.599684953689575,200
train_episode,14400,21,3.0847015380859375,200
train_episode,14600,22,2.2608184814453125,200
train_episode,14800,23,2.0871081352233887,200
train_episode,15000,24,3.286153554916382,200
train_episode,15200,25,3.3052210807800293,200
train_episode,15400,26,2.247685432434082,200
train_episode,15600,27,2.105829954147339,200
train_episode,15800,28,2.236095905303955,200
train_episode,16000,29,2.2848827838897705,200
train_episode,16200,30,3.249971628189087,200
train_episode,16400,31,2.171250820159912,200
train_episode,16600,32,2.2865731716156006,200
train_episode,16800,33,2.1844072341918945,200
train_episode,17000,34,2.242159128189087,200
train_episode,17200,35,2.1716432571411133,200
train_episode,17400,36,1.6428836584091187,200
train_episode,17600,37,1.8140556812286377,200
train_episode,17800,38,2.4031808376312256,200
train_episode,18000,39,2.1719937324523926,200
train_episode,18200,40,2.434922695159912,200
train_episode,18400,41,2.121931552886963,200
train_episode,18600,42,2.272423028945923,200
train_episode,18800,43,2.220012664794922,200
train_episode,19000,44,1.8789535760879517,200
train_episode,19200,45,2.238276243209839,200
train_episode,19400,46,2.395719528198242,200
train_episode,19600,47,2.063048839569092,200
train_episode,19800,48,2.4305713176727295,200
train_episode,20000,49,2.0542078018188477,200
eval_session,20000,0,2.4054667949676514,200
train_episode,20200,50,2.260202646255493,200
train_episode,20400,51,1.4147353172302246,200
train_episode,20600,52,1.392324686050415,200
train_episode,20800,53,1.4142059087753296,200
train_episode,21000,54,1.4366906881332397,200
train_episode,21200,55,1.429301381111145,200
train_episode,21400,56,1.4369330406188965,200
train_episode,21600,57,1.4622780084609985,200
train_episode,21800,58,1.4403400421142578,200
train_episode,22000,59,1.4685570001602173,200
train_episode,22200,60,1.92842698097229,200
train_episode,22400,61,3.1602983474731445,200
train_episode,22600,62,3.069025993347168,200
train_episode,22800,63,3.075343608856201,200
train_episode,23000,64,2.245577573776245,200
train_episode,23200,65,2.165790557861328,200
train_episode,23400,66,3.5653083324432373,200
train_episode,23600,67,2.3725814819335938,200
train_episode,23800,68,2.0876364707946777,200
train_episode,24000,69,2.1656484603881836,200
train_episode,24200,70,3.2846415042877197,200
train_episode,24400,71,2.15997052192688,200
train_episode,24600,72,2.358644485473633,200
train_episode,24800,73,2.290189266204834,200
train_episode,25000,74,3.1916544437408447,200
train_episode,25200,75,2.234585762023926,200
train_episode,25400,76,2.280742645263672,200
train_episode,25600,77,1.2943649291992188,200
train_episode,25800,78,2.6027207374572754,200
train_episode,26000,79,2.518026828765869,200
train_episode,26200,80,2.372504949569702,200
train_episode,26400,81,1.9789495468139648,200
train_episode,26600,82,2.150993585586548,200
train_episode,26800,83,1.9921698570251465,200
train_episode,27000,84,1.5437394380569458,200
train_episode,27200,85,1.513287901878357,200
train_episode,27400,86,1.4640856981277466,200
train_episode,27600,87,1.644953966140747,200
train_episode,27800,88,1.9993515014648438,200
train_episode,28000,89,2.180858850479126,200
train_episode,28200,90,3.7316741943359375,200
train_episode,28400,91,1.6794464588165283,200
train_episode,28600,92,2.0120632648468018,200
train_episode,28800,93,1.7850184440612793,200
train_episode,29000,94,1.657688856124878,200
train_episode,29200,95,1.7549388408660889,200
train_episode,29400,96,1.8836673498153687,200
train_episode,29600,97,1.6854685544967651,200
train_episode,29800,98,1.7126083374023438,200
train_episode,30000,99,1.4785200357437134,200
eval_session,30000,1,1.6209332942962646,200
train_episode,30200,100,2.08843731880188,200
train_episode,30400,101,1.991105556488037,200
train_episode,30600,102,1.7106339931488037,200
train_episode,30800,103,1.874982237815857,200
train_episode,31000,104,2.1733007431030273,200
train_episode,31200,105,1.9722263813018799,200
train_episode,31400,106,2.1272542476654053,200
train_episode,31600,107,1.8876451253890991,200
train_episode,31800,108,1.8763729333877563,200
train_episode,32000,109,1.485713243484497,200
train_episode,32200,110,1.5578656196594238,200
train_episode,32400,111,1.520639419555664,200
train_episode,32600,112,1.480742335319519,200
train_episode,32800,113,1.5725481510162354,200
train_episode,33000,114,1.404966950416565,200
train_episode,33200,115,1.3470991849899292,200
train_episode,33400,116,1.5711987018585205,200
train_episode,33600,117,1.4565972089767456,200
train_episode,33800,118,1.6654354333877563,200
train_episode,34000,119,1.9334337711334229,200
train_episode,34200,120,1.3312535285949707,200
train_episode,34400,121,1.3350971937179565,200
train_episode,34600,122,1.3327478170394897,200
train_episode,34649,123,5.638507843017578,49
train_episode,34849,124,1.338043451309204,200
train_episode,35049,125,1.3123650550842285,200
train_episode,35249,126,1.3324638605117798,200
train_episode,35449,127,1.3256598711013794,200
train_episode,35649,128,1.3045259714126587,200
