buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
5100.0,34.0,300.0,107.03361688146833,0.6237936621566443,10200,5100.0,480.92826795578003
5250.0,35.0,300.0,12.484807118513118,24.596753510774715,10500,5250.0,493.12499809265137
5400.0,36.0,300.0,18.079408829850763,25.274956713597103,10800,5400.0,504.99445509910583
5550.0,37.0,300.0,12.561323988534241,24.658371965804125,11100,5550.0,517.1607096195221
5700.0,38.0,300.0,24.710727985249832,24.34112525613202,11400,5700.0,529.4855318069458
5850.0,39.0,300.0,69.11385031137615,24.857131241395113,11700,5850.0,541.5545029640198
6000.0,40.0,300.0,72.48363779485226,25.49551259225345,12000,6000.0,553.3212807178497
6150.0,41.0,300.0,19.707682508043945,27.10749832297706,12300,6150.0,564.3883311748505
6300.0,42.0,300.0,16.467578794807196,23.57894894643074,12600,6300.0,577.111546754837
6450.0,43.0,300.0,43.13777848274913,24.703205586783962,12900,6450.0,589.2557210922241
6600.0,44.0,300.0,59.30756339803338,24.779688067962084,13200,6600.0,601.3624114990234
6750.0,45.0,300.0,154.0091502200812,24.905178850737606,13500,6750.0,613.4080994129181
6900.0,46.0,300.0,36.45354981483251,24.665026776236893,13800,6900.0,625.5710716247559
7050.0,47.0,300.0,13.225418210957287,24.73994368226919,14100,7050.0,637.6972122192383
7200.0,48.0,300.0,19.879345365683548,24.70332343793038,14400,7200.0,649.8413286209106
7350.0,49.0,300.0,14.486710229801247,25.478696275374492,14700,7350.0,661.6158723831177
7500.0,50.0,300.0,12.71330587763805,24.783600409697467,15000,7500.0,673.7206521034241
7650.0,51.0,300.0,48.15424698451534,24.707965630494435,15300,7650.0,685.8624861240387
7800.0,52.0,300.0,10.092395318773924,24.7569812696377,15600,7800.0,697.9802815914154
7950.0,53.0,300.0,73.5259655603295,24.841808319400727,15900,7950.0,710.0566985607147
8100.0,54.0,300.0,8.245838530749097,25.339569828442684,16200,8100.0,721.8958897590637
8250.0,55.0,300.0,26.53450362540525,25.09723326149633,16500,8250.0,733.8494002819061
8400.0,56.0,300.0,28.965523376769852,25.014180533352658,16800,8400.0,745.8425986766815
8550.0,57.0,300.0,31.41590966138756,25.37010356651551,17100,8550.0,757.6675417423248
8700.0,58.0,300.0,22.826007015581126,25.535616498181426,17400,8700.0,769.4158396720886
8850.0,59.0,300.0,109.32794199202908,26.36885943962628,17700,8850.0,780.7928972244263
9000.0,60.0,300.0,50.265129496809095,24.074784614025294,18000,9000.0,793.2540683746338
9150.0,61.0,300.0,45.240938347167685,25.28153505780607,18300,9150.0,805.1204371452332
9300.0,62.0,300.0,19.47213433754223,25.67753935661917,18600,9300.0,816.8038008213043
9450.0,63.0,300.0,80.17794648197014,24.47992013844413,18900,9450.0,829.0587439537048
9600.0,64.0,300.0,45.21785067262681,24.536966574403934,19200,9600.0,841.2851946353912
9750.0,65.0,300.0,104.70127238026544,25.08457106080269,19500,9750.0,853.244738817215
9900.0,66.0,300.0,46.851742408069185,24.84519330210922,19800,9900.0,865.3195097446442
10050.0,67.0,300.0,130.43097905238392,4.087312173162974,20100,10050.0,938.7173783779144
10200.0,68.0,300.0,78.45844283205224,25.41953690625204,20400,10200.0,950.5193254947662
10350.0,69.0,300.0,30.860843019851018,25.393980791336304,20700,10350.0,962.3331496715546
10500.0,70.0,300.0,50.72919828696104,24.899227473457145,21000,10500.0,974.3817174434662
10650.0,71.0,300.0,24.73731739670984,25.269974706150894,21300,10650.0,986.2535157203674
10800.0,72.0,300.0,27.673230966133815,25.313490245346227,21600,10800.0,998.1049046516418
10950.0,73.0,300.0,29.732453796043046,25.953098794441978,21900,10950.0,1009.6642189025879
11100.0,74.0,300.0,31.243100452566978,24.809952032837145,22200,11100.0,1021.7561419010162
11250.0,75.0,300.0,30.108110585675604,25.29241811700761,22500,11250.0,1033.6174058914185
11400.0,76.0,300.0,78.02878630680061,25.156885255531005,22800,11400.0,1045.5425715446472
11550.0,77.0,300.0,35.53525465016719,24.6715192562329,23100,11550.0,1057.7023422718048
11700.0,78.0,300.0,60.60230452148244,25.56021453179557,23400,11700.0,1069.4393336772919
11850.0,79.0,300.0,99.6097693842894,25.152680718217503,23700,11850.0,1081.3664927482605
12000.0,80.0,300.0,30.92968312976882,24.783729280289098,24000,12000.0,1093.4712092876434
12150.0,81.0,300.0,27.15436455498275,25.232233725230785,24300,12150.0,1105.3607640266418
12300.0,82.0,300.0,80.07869119355746,25.521320166703678,24600,12300.0,1117.1156425476074
12450.0,83.0,300.0,60.69651717427769,25.44828880852758,24900,12450.0,1128.9042553901672
12600.0,84.0,300.0,25.921049310316448,24.558792536651175,25200,12600.0,1141.1198406219482
12750.0,85.0,300.0,24.986646349178045,24.78401777954014,25500,12750.0,1153.224416732788
12900.0,86.0,300.0,59.96236977503213,25.1475145975718,25800,12900.0,1165.1540257930756
13050.0,87.0,300.0,14.290446735609294,25.122123062048644,26100,13050.0,1177.095692396164
13200.0,88.0,300.0,98.67107449838659,24.83774912635967,26400,13200.0,1189.174082994461
13350.0,89.0,300.0,33.881915234188455,25.226178641446808,26700,13350.0,1201.06649184227
13500.0,90.0,300.0,51.63611012438196,24.81791113461013,27000,13500.0,1213.1545369625092
13650.0,91.0,300.0,27.01780577887257,25.256187101583272,27300,13650.0,1225.0328149795532
13800.0,92.0,300.0,121.59915657230886,24.57885153082213,27600,13800.0,1237.2384309768677
13950.0,93.0,300.0,78.22992471733596,25.28302751935035,27900,13950.0,1249.1040992736816
14100.0,94.0,300.0,132.4809964641463,25.532221074665458,28200,14100.0,1260.8539590835571
