MVMAE_L,Actor_L,Total_Loss,Batch_Reward_Mean
1.8512046337127686,-3.049293041229248,-3.0030128955841064,-0.1529967486858368
1.2884169816970825,-2.8873231410980225,-2.8551127910614014,-0.15316316485404968
0.9424752593040466,-3.8885085582733154,-3.8649466037750244,-0.17214763164520264
0.7795355319976807,-4.341461181640625,-4.321972846984863,-0.15949270129203796
0.6652315258979797,-5.023111820220947,-5.006481170654297,-0.19094249606132507
0.6060858964920044,-5.415088176727295,-5.399936199188232,-0.17206308245658875
0.5823087692260742,-6.0662384033203125,-6.051680564880371,-0.1720649152994156
0.5502941608428955,-6.693534851074219,-6.6797776222229,-0.20353861153125763
0.5601688623428345,-6.842353820800781,-6.828349590301514,-0.16590344905853271
0.5717136263847351,-7.17701530456543,-7.162722587585449,-0.16573545336723328
0.5561953186988831,-7.093799591064453,-7.079894542694092,-0.1405879408121109
0.5608248114585876,-6.904298782348633,-6.890278339385986,-0.15324679017066956
0.5526975989341736,-6.920327663421631,-6.906510353088379,-0.1470833569765091
0.5572737455368042,-6.651507377624512,-6.637575626373291,-0.17223095893859863
0.5519282817840576,-6.515658378601074,-6.50186014175415,-0.15949057042598724
0.5413910746574402,-6.307741641998291,-6.2942070960998535,-0.18480408191680908
0.5425452589988708,-5.9976806640625,-5.984117031097412,-0.15940876305103302
0.5328774452209473,-6.029381275177002,-6.016059398651123,-0.17206412553787231
0.5353116989135742,-5.896834373474121,-5.883451461791992,-0.17855890095233917
0.5137988924980164,-5.871952056884766,-5.85910701751709,-0.15973907709121704
0.537541389465332,-5.749004364013672,-5.735565662384033,-0.15965600311756134
0.5238115787506104,-5.953770637512207,-5.940675258636475,-0.14075537025928497
0.5246214270591736,-5.8726630210876465,-5.8595476150512695,-0.1409214287996292
0.5283910632133484,-5.987176895141602,-5.9739670753479,-0.14699813723564148
0.5240147113800049,-6.166787624359131,-6.153687477111816,-0.15949124097824097
0.534457266330719,-6.181422710418701,-6.168061256408691,-0.1468321681022644
0.538211464881897,-6.164276123046875,-6.150820732116699,-0.1406717747449875
0.5282542109489441,-6.267751693725586,-6.254545211791992,-0.13426274061203003
0.5318753719329834,-6.388145446777344,-6.374848365783691,-0.1912178099155426
0.5185538530349731,-6.284031867980957,-6.271068096160889,-0.14067143201828003
0.5130522847175598,-6.208008766174316,-6.1951823234558105,-0.18472208082675934
0.5188422203063965,-6.208428382873535,-6.195457458496094,-0.16581988334655762
0.5341445803642273,-6.160100936889648,-6.14674711227417,-0.16614894568920135
0.5235052704811096,-6.140199661254883,-6.127111911773682,-0.15299591422080994
0.5241963863372803,-6.098767280578613,-6.085662364959717,-0.1663173884153366
0.5173730254173279,-6.00562858581543,-5.99269437789917,-0.134179025888443
0.5260586142539978,-6.029789447784424,-6.016637802124023,-0.14075195789337158
0.5292778015136719,-6.074459075927734,-6.061227321624756,-0.17214453220367432
0.4971488416194916,-5.841757774353027,-5.829329013824463,-0.1912142038345337
0.5130562782287598,-5.863154888153076,-5.85032844543457,-0.15957218408584595
0.5237221717834473,-5.96297550201416,-5.949882507324219,-0.17206433415412903
0.518288254737854,-5.968390941619873,-5.9554338455200195,-0.12817946076393127
0.5047988891601562,-5.951931953430176,-5.939311981201172,-0.17231455445289612
0.5225315093994141,-6.0294976234436035,-6.016434192657471,-0.19113358855247498
0.5255720615386963,-5.934527397155762,-5.921388149261475,-0.1659308671951294
0.5187201499938965,-5.949935436248779,-5.936967372894287,-0.15349692106246948
0.5076199769973755,-6.091577053070068,-6.07888650894165,-0.15960094332695007
0.5071325302124023,-5.984561443328857,-5.971883296966553,-0.12210111320018768
0.508003830909729,-5.873048305511475,-5.860348224639893,-0.14675049483776093
0.5257246494293213,-5.970702171325684,-5.957559108734131,-0.1406714767217636
0.5215299725532532,-6.116893291473389,-6.103855133056641,-0.18471845984458923
0.5311989188194275,-6.028669357299805,-6.015389442443848,-0.17223325371742249
0.5120769739151001,-5.908358097076416,-5.8955559730529785,-0.1783926635980606
0.5210703015327454,-6.029856204986572,-6.016829490661621,-0.15968570113182068
0.5174816250801086,-6.057888507843018,-6.044951438903809,-0.1533304750919342
0.5121541619300842,-5.983028411865234,-5.970224380493164,-0.15324224531650543
0.5026662349700928,-5.973294258117676,-5.960727691650391,-0.14075279235839844
0.5081208348274231,-6.071369647979736,-6.058666706085205,-0.17214694619178772
0.49312958121299744,-5.922170639038086,-5.909842491149902,-0.17222973704338074
0.5057105422019958,-6.049030303955078,-6.0363874435424805,-0.1091110110282898
0.49866557121276855,-5.97144889831543,-5.958982467651367,-0.1783917248249054
0.5182673931121826,-6.031864643096924,-6.0189080238342285,-0.17214582860469818
0.5110437870025635,-6.114320755004883,-6.1015448570251465,-0.16606059670448303
0.49769970774650574,-6.033032417297363,-6.020589828491211,-0.16584978997707367
0.4927540123462677,-6.012957572937012,-6.000638484954834,-0.15990731120109558
0.4983978867530823,-6.046047210693359,-6.033587455749512,-0.15341010689735413
0.4887273907661438,-6.100445747375488,-6.08822774887085,-0.14066913723945618
0.4793946146965027,-6.071283340454102,-6.059298515319824,-0.1530766785144806
0.4777055084705353,-6.125311851501465,-6.113368988037109,-0.1531630903482437
0.4654984772205353,-5.952919960021973,-5.941282272338867,-0.13434354960918427
0.4514669179916382,-6.010037422180176,-5.998750686645508,-0.1723932921886444
0.43721824884414673,-6.155209541320801,-6.1442790031433105,-0.17214347422122955
0.44267669320106506,-6.053901672363281,-6.042834758758545,-0.15949170291423798
0.4128398299217224,-5.971266746520996,-5.9609456062316895,-0.16581621766090393
0.4314427077770233,-6.125880241394043,-6.115094184875488,-0.1468336284160614
0.43009719252586365,-5.974846363067627,-5.964094161987305,-0.1726408302783966
0.42271870374679565,-6.073644638061523,-6.063076496124268,-0.1470014750957489
0.4054405093193054,-6.047416687011719,-6.037280559539795,-0.20370204746723175
0.4048917889595032,-5.844971656799316,-5.8348493576049805,-0.14100348949432373
0.3774784207344055,-5.7632293701171875,-5.7537922859191895,-0.15307848155498505
0.38687026500701904,-5.746814250946045,-5.737142562866211,-0.1595730185508728
0.3815610408782959,-5.77845573425293,-5.768916606903076,-0.14066731929779053
0.3855709731578827,-5.823300361633301,-5.813661098480225,-0.15365691483020782
0.3706498444080353,-5.828836917877197,-5.819570541381836,-0.18496602773666382
0.37001731991767883,-5.880707740783691,-5.871457099914551,-0.14083579182624817
0.3752600848674774,-5.9797821044921875,-5.970400810241699,-0.15357232093811035
0.3680567443370819,-5.997338771820068,-5.988137245178223,-0.14066487550735474
0.38097599148750305,-6.001031875610352,-5.991507530212402,-0.16609777510166168
0.36246776580810547,-6.016409873962402,-6.00734806060791,-0.15349619090557098
0.34494686126708984,-5.907553672790527,-5.898930072784424,-0.16617372632026672
0.3707602918148041,-6.060324668884277,-6.051055431365967,-0.153741255402565
0.3477887511253357,-5.913079261779785,-5.904384613037109,-0.19104570150375366
0.35080644488334656,-5.956421852111816,-5.9476518630981445,-0.16581687331199646
0.34624484181404114,-5.929680824279785,-5.921024799346924,-0.15340614318847656
0.3502403497695923,-5.997387409210205,-5.988631248474121,-0.1537351906299591
0.3687753677368164,-5.923805236816406,-5.914586067199707,-0.17206205427646637
0.3577027916908264,-5.983306884765625,-5.974364280700684,-0.15965381264686584
0.36233147978782654,-5.794223308563232,-5.785164833068848,-0.13442113995552063
0.33760422468185425,-5.967949390411377,-5.959509372711182,-0.15324226021766663
0.3302459716796875,-5.855456352233887,-5.847200393676758,-0.15981732308864594
0.34276270866394043,-5.935371398925781,-5.926802158355713,-0.1723881959915161
0.3482562005519867,-6.001875877380371,-5.99316930770874,-0.17871811985969543
0.3531811535358429,-5.966904640197754,-5.958075046539307,-0.16606542468070984
0.3481912910938263,-5.894645690917969,-5.885941028594971,-0.14736215770244598
0.3199523985385895,-5.862191200256348,-5.85419225692749,-0.1659775823354721
0.3597404956817627,-5.843017578125,-5.834023952484131,-0.1534106284379959
0.3205733299255371,-5.8961639404296875,-5.888149738311768,-0.17238938808441162
0.3464767336845398,-5.878352165222168,-5.869690418243408,-0.17214730381965637
0.33368122577667236,-5.882874011993408,-5.8745317459106445,-0.18471863865852356
0.34372225403785706,-5.892176628112793,-5.8835835456848145,-0.14058324694633484
0.34083789587020874,-5.942375659942627,-5.933854579925537,-0.1848859190940857
