MVMAE_L,Policy_L,Total_Loss,Batch_Reward_Mean
1.810868740081787,-2.8404502868652344,-2.838639497756958,-0.14919513463974
1.4972188472747803,-2.8600478172302246,-2.858550548553467,-0.14133191108703613
1.254948377609253,-3.5250210762023926,-3.523766040802002,-0.14198127388954163
1.0681235790252686,-3.6407625675201416,-3.6396944522857666,-0.17010338604450226
0.9486820697784424,-3.878570556640625,-3.87762188911438,-0.15076600015163422
0.8304489850997925,-4.110474586486816,-4.109643936157227,-0.18071094155311584
0.760374903678894,-4.610525131225586,-4.609764575958252,-0.16286206245422363
0.7006526589393616,-4.894725799560547,-4.8940253257751465,-0.14831475913524628
0.6557723879814148,-5.203652858734131,-5.202997207641602,-0.15123677253723145
0.621085524559021,-5.433988571166992,-5.4333672523498535,-0.153150737285614
0.5987038016319275,-5.685709476470947,-5.685110569000244,-0.14748822152614594
0.5531983971595764,-6.102748870849609,-6.102195739746094,-0.1428685039281845
0.5505585670471191,-6.296360015869141,-6.295809268951416,-0.14134849607944489
0.5556797981262207,-6.368626117706299,-6.368070602416992,-0.1589125394821167
0.5714674592018127,-6.633641242980957,-6.63306999206543,-0.16638335585594177
0.5472700595855713,-6.860893249511719,-6.860345840454102,-0.15850242972373962
0.546572208404541,-6.970263957977295,-6.969717502593994,-0.15099242329597473
0.5535058379173279,-7.0096306800842285,-7.009077072143555,-0.15326888859272003
0.539372444152832,-6.962095260620117,-6.9615559577941895,-0.1545761674642563
0.5490742325782776,-7.038581848144531,-7.0380330085754395,-0.14680340886116028
0.5384367108345032,-6.947061061859131,-6.9465227127075195,-0.15139907598495483
0.5531205534934998,-6.896880149841309,-6.896327018737793,-0.1400022804737091
0.5340837240219116,-6.751764297485352,-6.751230239868164,-0.15268713235855103
0.5496698021888733,-6.681768894195557,-6.681219100952148,-0.1554187387228012
0.5579533576965332,-6.546030044555664,-6.545472145080566,-0.15687710046768188
0.5304523706436157,-6.474301815032959,-6.473771572113037,-0.14967842400074005
0.5372737050056458,-6.3275628089904785,-6.327025413513184,-0.13803407549858093
0.5442007780075073,-6.291802406311035,-6.291258335113525,-0.14946523308753967
0.5517163276672363,-6.119205951690674,-6.118654251098633,-0.14505475759506226
0.5466585159301758,-6.191384315490723,-6.190837860107422,-0.15319249033927917
0.5307922959327698,-6.1171770095825195,-6.1166462898254395,-0.15547822415828705
0.5392448306083679,-6.07286262512207,-6.072323322296143,-0.1649332493543625
0.5313050746917725,-6.112972259521484,-6.112441062927246,-0.15011273324489594
0.5314679741859436,-6.115824222564697,-6.115292549133301,-0.14356893301010132
0.5241473317146301,-6.102809429168701,-6.102285385131836,-0.14727869629859924
0.5245922207832336,-6.11881160736084,-6.118287086486816,-0.15998417139053345
0.5291315317153931,-6.229518890380859,-6.228989601135254,-0.14853745698928833
0.5329008102416992,-6.178404808044434,-6.1778717041015625,-0.14771616458892822
0.528187096118927,-6.165342330932617,-6.164813995361328,-0.13944795727729797
0.5226836204528809,-6.207475185394287,-6.2069525718688965,-0.1624978929758072
0.5292791128158569,-6.3973798751831055,-6.3968505859375,-0.16300925612449646
0.5271421074867249,-6.442492485046387,-6.441965579986572,-0.15413455665111542
0.5218390822410583,-6.367456912994385,-6.3669352531433105,-0.15295974910259247
0.5313696265220642,-6.329030990600586,-6.328499794006348,-0.14787304401397705
0.5273299813270569,-6.315879821777344,-6.315352439880371,-0.1586824506521225
0.5338307023048401,-6.500917434692383,-6.500383377075195,-0.16604942083358765
0.5475059151649475,-6.454216957092285,-6.453669548034668,-0.1708880215883255
0.5191157460212708,-6.434648513793945,-6.434129238128662,-0.1501840502023697
0.5280956625938416,-6.412160873413086,-6.411633014678955,-0.1504060924053192
0.5318351984024048,-6.396649360656738,-6.396117687225342,-0.1516130268573761
0.5176386833190918,-6.399625778198242,-6.399107933044434,-0.15781299769878387
0.5307208895683289,-6.279683589935303,-6.279152870178223,-0.14116130769252777
0.5195172429084778,-6.322112560272217,-6.321592807769775,-0.15391001105308533
0.5328531265258789,-6.319056034088135,-6.318523406982422,-0.15299439430236816
0.5278915762901306,-6.383679389953613,-6.383151531219482,-0.14434733986854553
0.5160439014434814,-6.278282165527344,-6.277766227722168,-0.15412302315235138
0.5236240029335022,-6.279662132263184,-6.279138565063477,-0.14754562079906464
0.5340909361839294,-6.263124465942383,-6.262590408325195,-0.14602749049663544
0.5162341594696045,-6.276399612426758,-6.275883197784424,-0.14517229795455933
0.5265144109725952,-6.341490745544434,-6.340964317321777,-0.15974706411361694
0.5316160917282104,-6.298035144805908,-6.297503471374512,-0.15650591254234314
0.5364261865615845,-6.290496826171875,-6.2899603843688965,-0.16019131243228912
0.5174364447593689,-6.270202159881592,-6.269684791564941,-0.14566990733146667
0.5333796143531799,-6.308109283447266,-6.307575702667236,-0.14827165007591248
0.5468315482139587,-6.2259979248046875,-6.2254509925842285,-0.16160890460014343
0.5194407105445862,-6.3936920166015625,-6.393172740936279,-0.15125134587287903
0.5351006984710693,-6.225761413574219,-6.225226402282715,-0.1651778370141983
0.5244432687759399,-6.350945472717285,-6.350420951843262,-0.135676771402359
0.5356243252754211,-6.331959247589111,-6.331423759460449,-0.16020464897155762
0.5326511263847351,-6.36321496963501,-6.362682342529297,-0.15072879195213318
0.5352542996406555,-6.344771385192871,-6.344235897064209,-0.16981373727321625
0.5225455164909363,-6.314801216125488,-6.314278602600098,-0.155771404504776
0.5388080477714539,-6.352200508117676,-6.351661682128906,-0.15398961305618286
0.5264581441879272,-6.38975715637207,-6.389230728149414,-0.14493244886398315
0.5343208312988281,-6.354808330535889,-6.354273796081543,-0.15739423036575317
0.5203611850738525,-6.3145856857299805,-6.314065456390381,-0.1424347460269928
0.5219007134437561,-6.300045490264893,-6.29952335357666,-0.1530284434556961
0.5235608816146851,-6.293877124786377,-6.29335355758667,-0.13174499571323395
0.5248873233795166,-6.314908504486084,-6.314383506774902,-0.16279208660125732
0.5094742774963379,-6.277663707733154,-6.277154445648193,-0.15849098563194275
0.528353750705719,-6.233870029449463,-6.233341693878174,-0.1593577265739441
0.5155336260795593,-6.249743461608887,-6.249228000640869,-0.13536971807479858
0.5313680171966553,-6.251668453216553,-6.2511372566223145,-0.14856374263763428
0.5261008143424988,-6.2024054527282715,-6.201879501342773,-0.15662986040115356
0.5249084830284119,-6.246853351593018,-6.246328353881836,-0.149674654006958
0.5226245522499084,-6.155285835266113,-6.154763221740723,-0.14427508413791656
0.5178820490837097,-6.167354583740234,-6.166836738586426,-0.1545083075761795
0.5254724621772766,-6.146767616271973,-6.146242141723633,-0.15088611841201782
0.5177512764930725,-6.212164878845215,-6.211647033691406,-0.14890503883361816
0.5345242023468018,-6.233198165893555,-6.232663631439209,-0.1316220611333847
0.5200918316841125,-6.165715217590332,-6.165194988250732,-0.15268626809120178
0.5379220843315125,-6.294312477111816,-6.293774604797363,-0.15507163107395172
0.5240849256515503,-6.226377487182617,-6.225853443145752,-0.15182936191558838
0.5239498615264893,-6.268404006958008,-6.267879962921143,-0.1504845917224884
0.5201279520988464,-6.268198490142822,-6.267678260803223,-0.1547970175743103
0.5369987487792969,-6.310803413391113,-6.310266494750977,-0.14464470744132996
0.5201507210731506,-6.2224273681640625,-6.221907138824463,-0.1411106139421463
0.5159579515457153,-6.286880970001221,-6.286365032196045,-0.14589612185955048
0.544019341468811,-6.329596519470215,-6.329052448272705,-0.1564100682735443
0.512452244758606,-6.293214321136475,-6.292701721191406,-0.15170249342918396
0.520302414894104,-6.329694747924805,-6.329174518585205,-0.14258237183094025
0.5148162245750427,-6.2558465003967285,-6.255331516265869,-0.14851534366607666
0.5136003494262695,-6.262126922607422,-6.261613368988037,-0.1468803733587265
0.5262612104415894,-6.258416652679443,-6.257890224456787,-0.15547476708889008
0.523542582988739,-6.228600978851318,-6.228077411651611,-0.1499323844909668
0.526444673538208,-6.246292591094971,-6.2457661628723145,-0.146316796541214
0.528685450553894,-6.289697170257568,-6.289168357849121,-0.14717094600200653
0.5222678184509277,-6.276584625244141,-6.276062488555908,-0.14081871509552002
0.5292438268661499,-6.271460056304932,-6.270930767059326,-0.15287546813488007
0.5303677916526794,-6.172482490539551,-6.171952247619629,-0.15196868777275085
0.5243048071861267,-6.192533493041992,-6.192008972167969,-0.14449173212051392
0.5096487402915955,-6.307603359222412,-6.307093620300293,-0.14971810579299927
0.5278570055961609,-6.164078235626221,-6.16355037689209,-0.15259766578674316
