MVMAE_L,Actor_L,Total_Loss,Batch_Reward_Mean
3.5287506580352783,2.714789867401123,6.2435407638549805,-0.17810127139091492
2.4928479194641113,1.8188740015029907,4.3117218017578125,-0.17810127139091492
1.8954744338989258,0.3095802962779999,2.205054759979248,-0.18166416883468628
1.545637607574463,-5.079554557800293,-3.53391695022583,-0.18166416883468628
1.35513174533844,-6.954885482788086,-5.5997538566589355,-0.18166416883468628
1.2577145099639893,-7.422964096069336,-6.165249824523926,-0.17810127139091492
1.2118982076644897,-9.764972686767578,-8.553074836730957,-0.1781012862920761
1.1773277521133423,-11.406564712524414,-10.229236602783203,-0.18166416883468628
1.1682071685791016,-15.519684791564941,-14.35147762298584,-0.18522706627845764
1.2043479681015015,-17.991485595703125,-16.787137985229492,-0.17453838884830475
1.1882346868515015,-20.832963943481445,-19.644729614257812,-0.1709754914045334
1.1534926891326904,-23.765140533447266,-22.611648559570312,-0.1602867990732193
1.1778887510299683,-25.775691986083984,-24.597803115844727,-0.17453837394714355
1.1847257614135742,-30.964616775512695,-29.779891967773438,-0.17453838884830475
1.1131370067596436,-36.31618118286133,-35.20304489135742,-0.15316101908683777
1.1181360483169556,-40.663909912109375,-39.545772552490234,-0.1602867990732193
1.139803171157837,-45.312469482421875,-44.172664642333984,-0.17810127139091492
1.1344003677368164,-48.79889678955078,-47.66449737548828,-0.15316101908683777
1.1444908380508423,-53.07141876220703,-51.92692947387695,-0.188789963722229
1.1138499975204468,-59.709564208984375,-58.5957145690918,-0.16741260886192322
1.0924828052520752,-62.20563888549805,-61.113155364990234,-0.16741260886192322
1.1224751472473145,-64.45812225341797,-63.33564758300781,-0.17453838884830475
1.119111180305481,-69.19078063964844,-68.07167053222656,-0.1781012862920761
1.077541708946228,-74.85368347167969,-73.77613830566406,-0.15672391653060913
1.1109768152236938,-77.71178436279297,-76.6008071899414,-0.16384971141815186
1.1291824579238892,-82.41680908203125,-81.28762817382812,-0.17453838884830475
1.1116218566894531,-85.72216796875,-84.61054992675781,-0.1709754914045334
1.1305488348007202,-92.067626953125,-90.93708038330078,-0.18522706627845764
1.14393949508667,-97.72567749023438,-96.58174133300781,-0.17810127139091492
1.1210973262786865,-102.08885955810547,-100.96776580810547,-0.19235286116600037
1.0981711149215698,-108.33463287353516,-107.23646545410156,-0.16741259396076202
1.0741326808929443,-113.7400131225586,-112.66587829589844,-0.16384971141815186
1.111701250076294,-122.76287841796875,-121.65117645263672,-0.17453838884830475
1.0922621488571167,-131.164306640625,-130.07205200195312,-0.16741259396076202
1.0841412544250488,-137.77590942382812,-136.6917724609375,-0.16741259396076202
1.105714201927185,-142.81378173828125,-141.70806884765625,-0.1781012862920761
1.1089218854904175,-146.77975463867188,-145.67083740234375,-0.1602868139743805
1.121228814125061,-151.49012756347656,-150.368896484375,-0.17810127139091492
1.1011205911636353,-154.18307495117188,-153.0819549560547,-0.17810127139091492
1.1014131307601929,-159.195068359375,-158.09365844726562,-0.17453837394714355
1.1254736185073853,-162.4093475341797,-161.28387451171875,-0.18522706627845764
1.127983808517456,-166.7484130859375,-165.62042236328125,-0.17810127139091492
1.1154290437698364,-171.1615753173828,-170.046142578125,-0.1994786560535431
1.1055829524993896,-175.39654541015625,-174.2909698486328,-0.17453837394714355
1.1264638900756836,-180.36648559570312,-179.24002075195312,-0.18522706627845764
1.0804624557495117,-184.61886596679688,-183.5384063720703,-0.1709754914045334
1.0864955186843872,-189.828369140625,-188.7418670654297,-0.1709754914045334
1.1353660821914673,-194.35227966308594,-193.2169189453125,-0.19591575860977173
1.1381553411483765,-199.60507202148438,-198.4669189453125,-0.17453837394714355
1.1067633628845215,-204.4555206298828,-203.3487548828125,-0.16741260886192322
1.0949392318725586,-209.3658447265625,-208.27090454101562,-0.16741259396076202
1.0871177911758423,-213.89617919921875,-212.80906677246094,-0.1602868139743805
1.0753235816955566,-218.64920043945312,-217.57388305664062,-0.1709754914045334
1.1083203554153442,-223.08822631835938,-221.9799041748047,-0.17810127139091492
1.1155333518981934,-227.0967254638672,-225.98118591308594,-0.16741259396076202
1.048133134841919,-230.43614196777344,-229.3880157470703,-0.15672391653060913
1.0682233572006226,-233.8656005859375,-232.79737854003906,-0.17453838884830475
1.0761072635650635,-236.36036682128906,-235.2842559814453,-0.16741260886192322
1.0714572668075562,-238.4132080078125,-237.3417510986328,-0.17097550630569458
1.0720173120498657,-239.7510986328125,-238.6790771484375,-0.18166416883468628
1.034413456916809,-240.57940673828125,-239.5449981689453,-0.17453838884830475
1.004112720489502,-240.6282196044922,-239.6240997314453,-0.18522706627845764
0.9773091077804565,-240.33795166015625,-239.3606414794922,-0.17453838884830475
0.956786036491394,-240.13258361816406,-239.17579650878906,-0.16384969651699066
0.9017661809921265,-240.69207763671875,-239.79031372070312,-0.15316101908683777
0.9257498383522034,-240.56187438964844,-239.63612365722656,-0.1602868139743805
0.9516773819923401,-240.0472412109375,-239.09556579589844,-0.15672390162944794
0.8838168978691101,-238.20010375976562,-237.3162841796875,-0.14603522419929504
